longitude	latitude
104.84	32.2
104.4	32.37
104.64	32.37
104.68	32.12
104.64	32.18
104.67	32.02
104.53	32.14
104.7	32.14
104.44	32.16
104.64	32.38
104.23	32.54
104.81	32.04
104.5	32.3
104.29	31.94
104.49	32.02
104.43	31.98
104.27	31.93
104.16	31.85
104.45	31.81
104	32.06
104.01	32.01
104.32	31.86
104.4	31.81
104.4	31.73
104.41	31.89
104.59	31.93
104.61	31.96
104.17	31.79
104.32	31.85
104.28	31.85
104.42	31.93
104.2	31.04
104.15	32.12
104.16	32.02
104.13	32.05
104.17	31.96
104.29	32.06
104.12	31.92
104.09	31.9
103.92	32.01
104.59	31.96
104.58	31.98
104.63	31.98
104.55	32.05
104.5	31.99
104.59	31.82
104.28	31.84
104.44	31.78
104.2	32.07
104.3	31.9
104.26	31.96
104.06	31.93
104.27	31.9
104.53	31.8
104.21	32.02
104.58	31.8
105.32	32.44
105.63	32.62
105.47	32.31
105.48	32.69
105.01	32.53
105.54	32.63
105.41	32.63
105.28	32.55
105.24	32.58
105.37	32.26
105.5	32.66
105.56	32.64
105.32	32.17
105.33	32.48
104.95	32.37
104.99	32.52
105.35	32.44
105.45	32.52
105.09	32.52
105.08	32.56
104.84	32.46
104.83	32.43
105.21	32.38
105.08	32.55
105.07	32.54
104.83	32.52
103.71	29.52
103.13	29.6
103.76	29.52
103.78	29.53
103.7	29.52
103.71	29.51
103.69	29.5
103.68	29.56
103.61	29.56
103.64	29.58
103.58	29.53
103.65	29.59
103.78	29.54
103.65	29.58
103.77	29.54
103.82	29.54
103.57	29.51
103.55	29.5
103.63	29.57
103.8	29.36
103.89	29.4
103.93	29.41
103.84	29.42
103.82	29.34
103.91	29.45
103.9	29.44
103.8	29.38
103.78	29.49
103.91	29.44
103.81	29.42
103.81	29.4
103.76	29.38
103.82	29.38
103.75	29.46
103.78	29.44
103.8	29.47
103.86	29.38
103.87	29.41
103.84	29.34
103.77	29.46
103.89	29.44
103.88	29.44
103.85	29.41
103.72	29.44
103.87	29.32
103.83	29.4
103.57	29.33
103.67	29.24
